order_id,review_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
00010242fe8c5a6d1ba2dd792cb16214,97ca439bc427b48bc1cd7177abe71365,5,,"Perfeito, produto entregue antes do combinado.",2017-09-21 00:00:00,2017-09-22 10:57:03
00018f77f2f0320c557190d7a144bdd3,7b07bacd811c4117b742569b04ce3580,4,,,2017-05-13 00:00:00,2017-05-15 11:34:13
000229ec398224ef6ca0657da4fc703e,0c5b33dea94867d1ac402749e5438e8b,5,,Chegou antes do prazo previsto e o produto surpreendeu pela qualidade. Muito satisfatório.,2018-01-23 00:00:00,2018-01-23 16:06:31
00024acbcdf0a6daa1e931b038114c75,f4028d019cb58564807486a6aaf33817,4,,,2018-08-15 00:00:00,2018-08-15 16:39:01
00042b26cf59d7ce69dfabb4e55b4fd9,940144190dcba6351888cafa43f3a3a5,5,,Gostei pois veio no prazo determinado .,2017-03-02 00:00:00,2017-03-03 10:54:59
00048cc3ae777c65dbb7d2a0634bc1ea,5e4e50af3b7960b7a10d86ec869509e8,4,,,2017-05-23 00:00:00,2017-05-24 19:00:09
00054e8431b9d7675808bcb819fb4a32,0381de7572d99d75230ce91207807265,4,,,2017-12-19 00:00:00,2017-12-29 02:40:12
0005a1a1728c9d785b8e2b08b904576c,67b1ab8f3ec19d5a90f153f21757d3a1,1,,"Na descrição do produto quando fui efetuar a compra, estava detalhado os pentes de disfarce.
Quando recebe o produto verifiquei e notei que não havia os pentes 0.5 e 1.5",2018-03-30 00:00:00,2018-04-02 00:52:01
0005f50442cb953dcd1d21e1fb923495,5c0b7e34ed85ec659bb064902d878e7a,4,,,2018-07-05 00:00:00,2018-07-05 23:17:04
00061f2a7bc09da83e415a52dc8a4af1,7e92c32ae297ef950ee69781d9f1760c,5,,"A caixa do produto veio com uma pequena avariação, mas de resto veio perfeito...",2018-03-30 00:00:00,2018-03-30 04:04:56
00063b381e2406b52ad429470734ebd5,5595c192e3c1566ab4e7a2748b8ed297,5,,"Fiquei um pouco triste, achei que a cor do coração seria verde, conforme a foto..... Mas depois que recebi o coração cor de rosa que fui ver que são imagens ilustrativas...... 😥",2018-08-08 00:00:00,2018-08-09 00:12:30
0006ec9db01a64e59a68b2c340bf65a7,6322c405c0f34bf3ad870fd1a6b1fced,5,Boa,Excelente serviço de compras on line.,2018-07-31 00:00:00,2018-08-01 23:05:10
0008288aa423d2a3f00fcb17cd7d8719,5505c1cce299b1e0b3f8e4b428417362,5,,,2018-02-27 00:00:00,2018-03-02 10:20:40
0009792311464db532ff765bf7b182ae,236ccf78a5c4c350c18fdc1ae12b0187,5,,,2018-08-23 00:00:00,2018-08-23 16:11:56
0009c9a17f916a706d71784483a5d643,787a452b54147f8f64737b1e040234af,4,,,2018-05-01 00:00:00,2018-05-01 21:14:43
000aed2e25dbad2f9ddb70584c5a2ded,00800678dcf28b0ea0caef2147b6945d,1,produto não entregue,"Mudo minha opinião assim que receber o produto.
Consta no site que o produto foi entregue, mas não recebi.",2018-05-19 00:00:00,2018-05-22 10:52:24
000c3e6612759851cc3cbb4b83257986,51b9186876d4708a91786f8517fe7106,5,,Recebi td certinho antes do prazo! ,2017-08-20 00:00:00,2017-08-20 19:56:31
000e562887b1f2006d75e0be9558292e,3b9a423bdbe8734ddfeb09bced16e5d9,3,,Bom produto,2018-03-13 00:00:00,2018-03-13 23:03:22
000e63d38ae8c00bbcb5a30573b99628,06f45fcd8b9b54c30b0de110eb849228,3,,5,2018-03-28 00:00:00,2018-03-28 18:32:10
000e906b789b55f64edcb1f84030f90d,a5fb93d6a9e707bd84c07da74e8d79fd,3,,,2017-12-09 00:00:00,2017-12-11 09:55:13
000f25f4d72195062c040b12dce9a18a,775038877f3c507777081ff685e14a60,4,,,2018-03-23 00:00:00,2018-03-24 04:17:06
001021efaa8636c29475e7734483457d,fa2d523cc60173d4889520763a2e4851,4,,super recomendo,2018-03-09 00:00:00,2018-03-13 14:04:38
0010b2e5201cc5f1ae7e9c6cc8f5bd00,f55e59915a07435c3615737a15470d96,5,,,2017-09-24 00:00:00,2017-09-24 18:35:01
00119ff934e539cf26f92b9ef0cdfed8,e79b1300216401c0212ab9b5a66372ff,5,,"Recebi o long 10 dias após a compra, e chegou em perfeito estado. A ilustração é idêntica à imagem do site. O material é de ótima qualidade e o tamanho é perfeito. Recomendo ! ",2017-08-17 00:00:00,2017-08-18 00:24:35
0011d82c4b53e22e84023405fb467e57,04a15fdeccc0572ca4f52b16cd50408a,4,,,2018-01-27 00:00:00,2018-01-28 13:18:49
00125cb692d04887809806618a2a145f,08af1a16cca5edd546f4a10b6e87af2e,5,,"produto como descrito, satisfeitíssima com a compra.",2017-04-08 00:00:00,2017-04-13 16:42:37
00130c0eee84a3d909e75bc08c5c3ca1,4ff9a24999699f7104ed23fec2563351,5,Super Recomendo,"Produto entregue adequadamente e muito rápido, gostei muito do serviço.",2018-06-14 00:00:00,2018-06-14 19:50:09
0013503b13da1eac686219390b7d641b,b5c9aa83935388c89bd9b1b2ce6d1439,5,,,2017-12-21 00:00:00,2017-12-24 05:03:01
00137e170939bba5a3134e2386413108,fe1711409007a1243f6fa3a1118d416c,4,,,2017-12-12 00:00:00,2017-12-13 11:08:31
001427c0ec99cf8af737bd88e92fd444,174a50ecc3181301a3585ff14ab5f98b,2,,,2018-04-26 00:00:00,2018-04-29 11:07:36
